attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,url
12648,11319618,1,medium,HTPasswd.Access,HTTP,172.16.1.2,172.16.2.2,55522,80,ips,signature,/.htpasswd
29263,11319616,1,low,SVN.Sensitive.File.Access,HTTP,172.16.1.2,172.16.2.2,55518,80,ips,signature,/.svn/entries
12475,11319653,1,low,Web.cgi-bin.Access,HTTP,172.16.1.2,172.16.2.2,55592,80,ips,signature,/cgi-bin/
29264,11319666,1,low,CVS.Sensitive.File.Access,HTTP,172.16.1.2,172.16.2.2,55618,80,ips,signature,/CVS/Entries
13900,11319824,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,172.16.1.2,172.16.2.2,55934,80,ips,signature,/phpinfo.php
29261,11319985,1,medium,WS_FTP.Sensitive.File.Access,HTTP,172.16.1.2,172.16.2.2,56256,80,ips,signature,/WS_FTP.LOG
