attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,url
12648,24323686,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58308,80,ips,signature,/drupal/modules/field/modules/number/.htpasswd
12648,24323686,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58308,80,ips,signature,-
12475,24323694,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,58328,80,ips,signature,/drupal/modules/field/modules/number/cgi-bin/
13900,24323715,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,58374,80,ips,signature,/drupal/modules/field/modules/number/phpinfo.php
12648,24323732,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58412,80,ips,signature,/drupal/modules/field/modules/options/.htpasswd
12648,24323732,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58412,80,ips,signature,-
12475,24323740,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,58430,80,ips,signature,/drupal/modules/field/modules/options/cgi-bin/
13900,24323761,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,58476,80,ips,signature,/drupal/modules/field/modules/options/phpinfo.php
12648,24323778,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58510,80,ips,signature,/drupal/modules/field/modules/text/.htpasswd
12648,24323778,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58510,80,ips,signature,-
12475,24323786,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,58528,80,ips,signature,/drupal/modules/field/modules/text/cgi-bin/
13900,24323807,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,58574,80,ips,signature,/drupal/modules/field/modules/text/phpinfo.php
12648,24323824,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58610,80,ips,signature,/drupal/modules/locale/tests/translations/.htpasswd
12648,24323824,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58610,80,ips,signature,-
12475,24323832,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,58628,80,ips,signature,/drupal/modules/locale/tests/translations/cgi-bin/
13900,24323853,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,58674,80,ips,signature,/drupal/modules/locale/tests/translations/phpinfo.php
12648,24323869,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58706,80,ips,signature,/drupal/sites/default/files/field/.htpasswd
12648,24323869,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58706,80,ips,signature,-
12475,24323877,1,low,Web.cgi-bin.Access,HTTP,192.168.1.3,192.168.2.2,58724,80,ips,signature,/drupal/sites/default/files/field/cgi-bin/
13900,24323898,1,low,Invision.Board.PHPINFO.PHP.Information.Disclosure,HTTP,192.168.1.3,192.168.2.2,58766,80,ips,signature,/drupal/sites/default/files/field/phpinfo.php
12648,24323915,1,medium,HTPasswd.Access,HTTP,192.168.1.3,192.168.2.2,58802,80,ips,signature,/drupal/sites/default/files/styles/.htpasswd
