attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype
12449,7955785,1,critical,Remote.CMD.Shell,tcp/1234,192.168.0.10,192.168.0.2,49836,1234,ips,signature
12449,7955896,1,critical,Remote.CMD.Shell,tcp/1234,192.168.0.10,192.168.0.2,49849,1234,ips,signature
