attackid,nataque,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype,sessionid,url
14341,143,high,Aardvark.Topsites.PHP.Remote.Command.Execution,HTTP,172.16.1.2,172.16.2.2,51146,80,ips,signature,7317,
44780,143,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51146,80,ips,signature,7317,
44780,144,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51148,80,ips,signature,7318,
44780,145,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51150,80,ips,signature,7319,
48010,145,medium,PHP.mosConfig_absolute_path.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51150,80,ips,signature,7319,
44780,145,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51150,80,ips,signature,7319,
44780,146,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51152,80,ips,signature,7320,
44780,146,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51152,80,ips,signature,7320,
44780,147,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51154,80,ips,signature,7321,
44780,148,low,Nikto.Web.Scanner,HTTP,172.16.1.2,172.16.2.2,51156,80,ips,signature,7322,
29614,148,high,TSEP.Colorswitch.PHP.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,51156,80,ips,signature,7322,
43336,148,high,Web.Server.Password.File.Access,HTTP,172.16.1.2,172.16.2.2,51156,80,ips,signature,7322,
