attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype
12525,9320675,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2849,0,ips,signature
12525,9320677,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2851,0,ips,signature
12525,9320679,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2853,0,ips,signature
12525,9320681,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2855,0,ips,signature
12525,9320683,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2857,0,ips,signature
12525,9320685,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2859,0,ips,signature
12525,9320687,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2861,0,ips,signature
12525,9320689,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2863,0,ips,signature
12525,9320691,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2865,0,ips,signature
12525,9320693,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2867,0,ips,signature
12525,9320695,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2869,0,ips,signature
12525,9320697,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2871,0,ips,signature
12525,9320699,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2873,0,ips,signature
12525,9320701,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2875,0,ips,signature
12525,9320636,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2810,0,ips,signature
12525,9320638,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2812,0,ips,signature
12525,9320640,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2814,0,ips,signature
12525,9320642,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2816,0,ips,signature
12525,9320644,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2818,0,ips,signature
12525,9320646,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2820,0,ips,signature
12525,9320648,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2822,0,ips,signature
12525,9320650,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2824,0,ips,signature
12525,9320652,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2826,0,ips,signature
12525,9320654,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2828,0,ips,signature
12525,9320656,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2830,0,ips,signature
12525,9320658,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2832,0,ips,signature
12525,9320660,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2834,0,ips,signature
12525,9320662,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2836,0,ips,signature
12525,9320703,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2877,0,ips,signature
12525,9320664,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2838,0,ips,signature
12525,9320666,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2840,0,ips,signature
12525,9320668,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2842,0,ips,signature
12525,9320670,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2844,0,ips,signature
12525,9320672,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2846,0,ips,signature
12525,9320674,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2848,0,ips,signature
12525,9320676,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2850,0,ips,signature
12525,9320678,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2852,0,ips,signature
12525,9320680,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2854,0,ips,signature
12525,9320705,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2879,0,ips,signature
12525,9320682,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2856,0,ips,signature
12525,9320684,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2858,0,ips,signature
12525,9320686,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2860,0,ips,signature
12525,9320688,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2862,0,ips,signature
12525,9320690,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2864,0,ips,signature
12525,9320692,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2866,0,ips,signature
12525,9320694,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2868,0,ips,signature
12525,9320696,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2870,0,ips,signature
12525,9320707,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2881,0,ips,signature
12525,9320698,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2872,0,ips,signature
12525,9320700,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2874,0,ips,signature
12525,9320702,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2876,0,ips,signature
12525,9320704,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2878,0,ips,signature
12525,9320706,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2880,0,ips,signature
12525,9320708,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2882,0,ips,signature
12525,9320709,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2883,0,ips,signature
12525,9320711,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2885,0,ips,signature
12525,9320713,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2887,0,ips,signature
12525,9320715,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2889,0,ips,signature
12525,9320717,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2891,0,ips,signature
12525,9320719,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2893,0,ips,signature
12525,9320721,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2895,0,ips,signature
12525,9320723,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2897,0,ips,signature
12525,9320725,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2899,0,ips,signature
12525,9320727,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2901,0,ips,signature
12525,9320729,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2903,0,ips,signature
12525,9320731,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2905,0,ips,signature
12525,9320733,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2907,0,ips,signature
12525,9320735,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2909,0,ips,signature
12525,9320737,1,low,UDP.PORT0,udp/0,192.168.1.3,192.168.2.2,2911,0,ips,signature
