attackid,sessionid,repeated,severity,attack,service,srcip,dstip,srcport,dstport,subtype,eventtype
35662,7862704,1,high,SSH.Connection.Brute.Force,SSH,172.16.17.3,172.16.17.2,47842,22,ips,signature
35662,7862705,1,high,SSH.Connection.Brute.Force,SSH,172.16.17.3,172.16.17.2,47844,22,ips,signature
