virusid,sessionid,repeated,severity,virus,service,srcip,dstip,subtype,eventtype
8064362,3309124,1,-,ELF/Agent.AR!tr,FTP,192.168.0.20,192.168.0.30,virus,infected
8064362,3309124,1,-,ELF/Agent.AR!tr,FTP,192.168.0.20,192.168.0.30,virus,infected
