attackid,severity,attack,service,srcip,dstip,subtype,eventtype
43799,medium,MS.SMB.Server.Trans.Peeking.Data.Information.Disclosure,NBSS,192.168.1.3,192.168.2.2,ips,signature
43963,critical,Backdoor.DoublePulsar,NBSS,192.168.1.3,192.168.2.2,ips,signature
43796,critical,MS.SMB.Server.SMB1.Trans2.Secondary.Handling.Code.Execution,NBSS,192.168.1.3,192.168.2.2,ips,signature
