2024-07-05T12:16:59.292353+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618751841113 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16250 srcip=0.0.0.0 dstip=255.255.255.255 dstcountry="Reserved" srcport=68 dstport=67 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DHCP" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311618 applist="sniffer-profile" action="pass" appcat="Network.Service" app="BOOTP" incidentserialno=226718804 msg="Network.Service: BOOTP" apprisk="elevated"
2024-07-05T12:16:59.292540+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618764099429 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=54648 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311624 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718815 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292563+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618764189157 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=62486 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311625 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718816 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292575+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618764273898 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=50971 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311626 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718817 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292590+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618770612861 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=56656 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311627 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718818 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292606+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618770732293 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=61362 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311628 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718819 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292619+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618770774496 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=32609 srcip=224.0.0.22 srccountry="Reserved" dstip=192.168.0.10 dstcountry="Reserved" srcport=0 dstport=0 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=2 service="igmp" direction="incoming" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=0 applist="sniffer-profile" action="pass" appcat="Network.Service" app="IP.Multicast" incidentserialno=226718820 msg="Network.Service: IP.Multicast" apprisk="elevated"
2024-07-05T12:16:59.292636+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618770790017 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=32609 srcip=224.0.0.22 srccountry="Reserved" dstip=192.168.0.10 dstcountry="Reserved" srcport=0 dstport=0 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=2 service="igmp" direction="incoming" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=0 applist="sniffer-profile" action="pass" appcat="Network.Service" app="IP.Multicast" incidentserialno=226718821 msg="Network.Service: IP.Multicast" apprisk="elevated"
2024-07-05T12:16:59.292650+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618770862749 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=56682 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311629 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718822 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292661+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618770949099 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=49407 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311630 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718823 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292679+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771040088 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=55287 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311631 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718824 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292696+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771125934 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=52403 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311632 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718825 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292711+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771196643 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=56821 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311633 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718826 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292727+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771265516 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=65209 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311634 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718827 msg="Network.Service: DNS" apprisk="elevated"
2024-07-05T12:16:59.292738+02:00 ait29.us.es date=2024-07-05 time=03:16:58 devname="FGDIT" devid="FGVM02TM24009458" eventtime=1720174618771348217 tz="-0700" logid="1059028704" type="utm" subtype="app-ctrl" eventtype="signature" level="information" vd="root" appid=16195 srcip=192.168.0.10 srccountry="Reserved" dstip=192.168.0.2 dstcountry="Reserved" srcport=63760 dstport=53 srcintf="port4" srcintfrole="undefined" dstintf="port4" dstintfrole="undefined" proto=17 service="DNS" direction="outgoing" policyid=1 poluuid="ccb284a4-eb71-51ee-081b-8ff8738c03f6" policytype="sniffer" sessionid=3311635 applist="sniffer-profile" action="pass" appcat="Network.Service" app="DNS" incidentserialno=226718828 msg="Network.Service: DNS" apprisk="elevated"
