PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1765,"""SERVER-WEBAPP Nortel Contivity cgiproc access""",,,,,,
Community,1875,"""SERVER-WEBAPP cgicso access""",,,,,,
Community,1528,"""SERVER-WEBAPP BBoard access""",,,,,,
Community,1164,"""SERVER-WEBAPP shopping cart access""",,,,,,
Community,2484,"""SERVER-WEBAPP source.jsp access""",,,,,,
Community,903,"""SERVER-OTHER Adobe Coldfusion cfcache.map access""",,,,,,
Community,903,"""SERVER-OTHER Adobe Coldfusion cfcache.map access""",,,,,,
Community,1551,"""SERVER-WEBAPP /CVS/Entries access""",,,,,,
Community,2228,"""SERVER-WEBAPP phpMyAdmin db_details_importdocsql.php access""",,,,,,
Community,2228,"""SERVER-WEBAPP phpMyAdmin db_details_importdocsql.php access""",,,,,,
Community,2228,"""SERVER-WEBAPP phpMyAdmin db_details_importdocsql.php access""",,,,,,
Community,2228,"""SERVER-WEBAPP phpMyAdmin db_details_importdocsql.php access""",,,,,,
Community,2228,"""SERVER-WEBAPP phpMyAdmin db_details_importdocsql.php access""",,,,,,
Community,1402,"""SERVER-IIS iissamples access""",,,,,,
Community,1402,"""SERVER-IIS iissamples access""",,,,,,
Community,1150,"""SERVER-WEBAPP Domino catalog.nsf access""",,,,,,
Community,1576,"""SERVER-WEBAPP Domino cersvr.nsf access""",,,,,,
Community,1152,"""SERVER-WEBAPP Domino domlog.nsf access""",,,,,,
Community,1580,"""SERVER-WEBAPP Domino events4.nsf access""",,,,,,
Community,1153,"""SERVER-WEBAPP Domino log.nsf access""",,,,,,
Community,1154,"""SERVER-WEBAPP Domino names.nsf access""",,,,,,
Community,2062,"""SERVER-WEBAPP iPlanet .perf access""",,,,,,
Community,1048,"""SERVER-WEBAPP Netscape Enterprise directory listing attempt""",C1B24485,172.16.1.2,172.16.2.2,50888,80,61749
Community,1103,"""SERVER-WEBAPP Netscape admin passwd""",,,,,,
Community,2152,"""SERVER-WEBAPP test.php access""",,,,,,
Community,1586,"""SERVER-WEBAPP Domino mail.box access""",,,,,,
Community,1577,"""SERVER-WEBAPP Domino setup.nsf access""",,,,,,
Community,1578,"""SERVER-WEBAPP Domino statrep.nsf access""",,,,,,
Community,1579,"""SERVER-WEBAPP Domino webadmin.nsf access""",,,,,,
Community,931,"""SERVER-OTHER Adobe Coldfusion cfmlsyntaxcheck.cfm access""",,,,,,
Community,2246,"""SERVER-WEBAPP webadmin.dll access""",,,,,,
Community,1587,"""SERVER-WEBAPP cgitest.exe access""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1002,"""SERVER-IIS cmd.exe access""",,,,,,
Community,1002,"""SERVER-IIS cmd.exe access""",,,,,,
Community,1002,"""SERVER-IIS cmd.exe access""",,,,,,
Community,992,"""SERVER-IIS adctest.asp access""",,,,,,
Community,1401,"""SERVER-IIS /msadc/samples/ access""",,,,,,
Community,1242,"""SERVER-IIS ISAPI .ida access""",,,,,,
Community,875,"""SERVER-WEBAPP win-c-sample.exe access""",,,,,,
Community,1829,"""SERVER-APACHE Apache Tomcat TroubleShooter servlet access""",,,,,,
Community,911,"""SERVER-OTHER Adobe Coldfusion exprcalc access""",,,,,,
Community,918,"""SERVER-OTHER Adobe Coldfusion expeval access""",,,,,,
Community,911,"""SERVER-OTHER Adobe Coldfusion exprcalc access""",,,,,,
Community,918,"""SERVER-OTHER Adobe Coldfusion expeval access""",,,,,,
Community,1244,"""SERVER-IIS ISAPI .idq attempt""",,,,,,
Community,1245,"""SERVER-IIS ISAPI .idq access""",,,,,,
Community,1244,"""SERVER-IIS ISAPI .idq attempt""",,,,,,
Community,1245,"""SERVER-IIS ISAPI .idq access""",,,,,,
Community,1402,"""SERVER-IIS iissamples access""",,,,,,
Community,1244,"""SERVER-IIS ISAPI .idq attempt""",,,,,,
Community,1245,"""SERVER-IIS ISAPI .idq access""",,,,,,
Community,1402,"""SERVER-IIS iissamples access""",,,,,,
Community,1244,"""SERVER-IIS ISAPI .idq attempt""",,,,,,
Community,1245,"""SERVER-IIS ISAPI .idq access""",,,,,,
Community,966,"""SERVER-OTHER Microsoft Frontpage .... request""",,,,,,
Community,906,"""SERVER-OTHER Adobe Coldfusion getfile.cfm access""",,,,,,
Community,928,"""SERVER-OTHER Adobe Coldfusion exampleapp access""",,,,,,
Community,928,"""SERVER-OTHER Adobe Coldfusion exampleapp access""",,,,,,
Community,911,"""SERVER-OTHER Adobe Coldfusion exprcalc access""",,,,,,
Community,918,"""SERVER-OTHER Adobe Coldfusion expeval access""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1773,"""SERVER-WEBAPP php.exe access""",,,,,,
Community,1517,"""SERVER-WEBAPP envout.bat access""",,,,,,
Community,1773,"""SERVER-WEBAPP php.exe access""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1129,"""SERVER-WEBAPP .htaccess access""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1147,"""SERVER-WEBAPP cat_ access""",,,,,,
Community,2154,"""SERVER-WEBAPP autohtml.php access""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,2565,"""SERVER-WEBAPP modules.php access""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1491,"""SERVER-WEBAPP Phorum /support/common.php access""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1611,"""SERVER-WEBAPP eXtropia webstore access""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
Community,1122,"""SERVER-WEBAPP /etc/passwd file access attempt""",,,,,,
