PCAP,ATTACKID,APP-CTRL,FP
T1557-Dhcp_spoofing_[1].pcapng,-,-,-
T1563.002-RDPHijacking_[5].pcapng,-,-,-
T1565.001-SQL_inyection_[3].pcapng,15621,-,-
T1566.001-C2018_[6].pcapng,"29247, 12449",-,-
T1566.002-Spearphishing_Link_[5].pcapng,-,-,-
T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,-,-,-
T1568-fastFluxDNS_[5].pcapng,-,-,-
T1569-System_services_service_execution_[4].pcapng,-,"25853, 52166",-
T1570-Lateral_Tool_Transfer_[5].pcapng,12449,-,-
T1571-SSH_[2].pcapng,-,-,-
T1572-Protocol_Tunneling_[5].pcapng,12449,-,-
T1573.002_AssymetricCryptography_[5].pcapng,-,47013,-
T1584-Cache_dns_[1].pcapng,-,-,-
T1584-Secuestro_dns_[1].pcapng,-,-,-
T1584.005-C2018_[6].pcapng,-,-,-
T1585.001-Establish_social_accounts_[4].pcapng,-,-,-
T1586.001-Compromise_Accounts_[2].pcapng,12648,-,-
T1589.002-Gather_victim_identity_information_[4].pcapng,-,-,-
T1595.002-Port_Scanning_[3].pcapng,"43814, 45360",-,-
T1595.003-Web_page_scanning1_[2].pcapng,-,-,-
T1595.003-Web_page_scanning2_[3].pcapng,12648,-,-
T1596.001-DNS_Transfer_[2].pcapng,-,10357,-
T1598.003-Spearphishing_Link_[5].pcapng,-,-,-
T1599-Salto_vlan_[1].pcapng,-,-,-
T1599-NBB1_[5].pcapng,-,-,-
T1599-NBB2_[5].pcapng,-,-,-
T1602.001-MIB_Dump_[2].pcapng,-,-,-
T1612-BuildImageOnHostLocal_[5].pcapng,-,-,-
T1612-BuildImageOnHostNAT_[5].pcapng,-,46402,-
T1615-Group_Policy_Discovery_[5].pcapng,-,-,-
T1659-Content_Injection_[5].pcapng,-,-,-
T1659_Inyeccion_[1].pcapng,-,-,-
T1665-Hide_Infrastructure_[5].pcapng,12449,-,-
,,,
