attackid,severity,attack,service,srcip,dstip,subtype,eventtype
46199,medium,sqlmap.Scanner,HTTP,192.168.1.3,192.168.2.2,ips,signature
15621,high,HTTP.URI.SQL.Injection,HTTP,192.168.1.3,192.168.2.2,ips,signature
