attackid,severity,attack,service,srcip,dstip,subtype,eventtype
48370,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,ips,signature
48370,low,Dnscat2.DNS.Tunnel,DNS,10.10.1.9,10.10.1.6,ips,signature
